respondent_id,mbti_label,IE01,IE02,IE03,IE04,NS01,NS02,NS03,NS04,TF01,TF02,TF03,TF04,JP01,JP02,JP03,JP04,ie_label,ns_label,tf_label,jp_label
SYN-INFJ-001,INFJ,3,2,5,5,4,2,1,3,3,4,3,2,2,1,4,3,I,N,F,J
SYN-INFJ-002,INFJ,3,1,4,1,3,3,5,1,3,4,2,5,4,2,5,1,I,N,F,J
SYN-INFJ-003,INFJ,5,1,3,4,4,1,4,3,1,4,1,4,3,1,1,4,I,N,F,J
SYN-INFJ-004,INFJ,3,3,5,2,4,1,5,3,3,2,4,2,3,1,4,2,I,N,F,J
SYN-INFJ-005,INFJ,5,1,4,5,4,2,2,4,4,4,2,5,3,1,5,5,I,N,F,J
SYN-INFJ-006,INFJ,3,1,4,4,4,5,5,1,5,2,3,2,2,2,4,1,I,N,F,J
SYN-INFJ-007,INFJ,4,3,4,3,5,2,1,2,4,4,3,2,3,2,5,2,I,N,F,J
SYN-INFJ-008,INFJ,4,4,4,2,4,3,3,3,1,2,3,1,3,1,4,3,I,N,F,J
SYN-INFJ-009,INFJ,4,1,3,1,4,5,5,1,5,5,3,5,3,2,3,2,I,N,F,J
SYN-INFJ-010,INFJ,4,2,3,3,4,3,5,3,1,4,4,2,2,4,5,4,I,N,F,J
SYN-INFJ-011,INFJ,2,3,3,2,3,4,4,4,3,1,2,5,3,1,5,2,I,N,F,J
SYN-INFJ-012,INFJ,5,2,2,4,2,2,5,1,2,3,5,5,4,5,3,3,I,N,F,J
SYN-INFJ-013,INFJ,1,5,4,4,5,1,5,3,1,2,3,1,4,2,4,1,I,N,F,J
SYN-INFJ-014,INFJ,3,1,3,4,2,4,3,3,3,4,1,2,4,2,2,1,I,N,F,J
SYN-INFJ-015,INFJ,3,2,4,3,4,2,4,2,2,4,3,5,2,2,5,1,I,N,F,J
SYN-INFJ-016,INFJ,3,2,3,3,3,2,4,3,1,5,3,4,3,2,5,1,I,N,F,J
SYN-INFJ-017,INFJ,2,2,4,1,4,3,2,2,3,5,2,5,4,1,2,4,I,N,F,J
SYN-INFJ-018,INFJ,5,2,4,1,4,2,5,4,1,4,2,5,4,2,2,1,I,N,F,J
SYN-INFJ-019,INFJ,5,2,5,1,2,2,2,1,3,5,4,3,4,3,4,4,I,N,F,J
SYN-INFJ-020,INFJ,3,5,4,2,2,4,3,2,1,2,3,4,4,2,1,4,I,N,F,J
SYN-INFJ-021,INFJ,3,2,5,5,3,1,5,2,2,5,2,5,2,5,5,1,I,N,F,J
SYN-INFJ-022,INFJ,2,4,2,2,2,2,1,2,2,2,2,5,3,1,3,2,I,N,F,J
SYN-INFJ-023,INFJ,1,1,1,1,3,1,5,2,2,4,4,3,5,2,4,1,I,N,F,J
SYN-INFJ-024,INFJ,4,1,4,4,4,4,3,1,2,5,2,2,4,2,3,4,I,N,F,J
SYN-INFJ-025,INFJ,4,2,4,4,4,2,2,5,1,5,4,3,4,4,4,3,I,N,F,J
SYN-INFJ-026,INFJ,2,1,4,1,3,2,4,2,5,3,2,2,3,2,5,4,I,N,F,J
SYN-INFJ-027,INFJ,3,1,2,2,5,4,3,4,2,1,3,4,4,3,3,1,I,N,F,J
SYN-INFJ-028,INFJ,1,5,5,1,3,3,2,2,4,5,3,4,2,2,3,5,I,N,F,J
SYN-INFJ-029,INFJ,2,4,3,1,5,3,5,2,2,4,3,5,3,2,2,2,I,N,F,J
SYN-INFJ-030,INFJ,3,3,4,3,3,3,5,1,2,4,2,5,4,2,5,2,I,N,F,J
SYN-INFJ-031,INFJ,2,1,4,1,4,2,4,1,1,2,3,5,5,2,4,1,I,N,F,J
SYN-INFJ-032,INFJ,5,4,3,3,5,3,5,3,1,4,5,3,5,1,4,4,I,N,F,J
SYN-INFJ-033,INFJ,3,4,3,1,2,1,4,5,2,4,2,4,2,3,2,2,I,N,F,J
SYN-INFJ-034,INFJ,5,3,5,2,4,1,3,1,2,1,1,4,4,1,2,2,I,N,F,J
SYN-INFJ-035,INFJ,4,4,2,1,5,2,5,1,4,2,1,3,5,3,4,1,I,N,F,J
SYN-INFJ-036,INFJ,1,3,4,2,2,3,3,4,2,2,4,3,4,1,2,4,I,N,F,J
SYN-INFJ-037,INFJ,3,4,1,4,2,4,2,3,4,4,3,3,3,3,4,1,I,N,F,J
SYN-INFJ-038,INFJ,3,2,4,3,4,2,4,3,5,3,3,3,5,2,4,1,I,N,F,J
SYN-INFJ-039,INFJ,5,1,4,2,4,1,5,4,3,4,1,5,5,2,2,3,I,N,F,J
SYN-INFJ-040,INFJ,4,2,4,1,2,2,4,3,3,4,1,3,4,3,5,1,I,N,F,J
SYN-INFJ-041,INFJ,4,2,4,4,4,4,4,1,2,3,3,1,2,4,4,5,I,N,F,J
SYN-INFJ-042,INFJ,5,2,4,4,3,2,3,1,4,3,1,5,1,1,3,1,I,N,F,J
SYN-INFJ-043,INFJ,3,3,3,3,3,2,5,2,2,5,3,3,4,2,1,2,I,N,F,J
SYN-INFJ-044,INFJ,3,3,2,5,4,3,4,3,3,5,2,4,3,3,2,5,I,N,F,J
SYN-INFJ-045,INFJ,2,4,3,1,3,2,4,1,1,4,3,3,5,1,4,1,I,N,F,J
SYN-INFJ-046,INFJ,3,2,3,3,5,3,3,3,2,3,1,4,5,4,5,2,I,N,F,J
SYN-INFJ-047,INFJ,4,2,3,1,1,1,2,3,1,3,4,3,3,2,3,5,I,N,F,J
SYN-INFJ-048,INFJ,5,3,3,3,5,3,4,3,1,5,1,4,2,3,3,1,I,N,F,J
SYN-INFJ-049,INFJ,5,2,2,1,5,1,2,5,3,5,3,4,4,2,2,1,I,N,F,J
